id	filename	md5	size	state
0027939f-f441-4e4a-bea6-eca43d1e02d0	0027939f-f441-4e4a-bea6-eca43d1e02d0/unc.edu.5b92fd62-9fec-4b18-b7c3-50c88fa0d464.1151182.rsem.genes.normalized_results	797e6428ec6b987e382fca5c0781464f	436125	live
0051ce04-c6b7-4533-a49a-4eeee861a515	0051ce04-c6b7-4533-a49a-4eeee861a515/unc.edu.f9df2254-ab08-4ab2-9b86-ed40e6c8a4b9.1128224.rsem.genes.normalized_results	490bcbae1baf43c9ad49349664426b2f	435380	live
00b1842d-88ca-40d5-a4c0-45913e6af04b	00b1842d-88ca-40d5-a4c0-45913e6af04b/unc.edu.b5b8fdd8-c4df-4f79-aed5-23ac41f75f18.1349498.rsem.genes.normalized_results	162c788aadb4e80d8ea93bd2402e3f8c	436195	live
010a6588-7dab-4c6d-9bce-3dd0708fa524	010a6588-7dab-4c6d-9bce-3dd0708fa524/unc.edu.29b04717-c5f2-4d4c-b006-e5c5f0aade7a.1137291.rsem.genes.normalized_results	53a8d6db400f20c9987d9bef59726be6	435541	live
013420a1-dd9b-423a-b75f-6f18c649eacf	013420a1-dd9b-423a-b75f-6f18c649eacf/unc.edu.75ba5803-449e-4770-8105-b675af8e6907.1130886.rsem.genes.normalized_results	67bcedc55f6e9d45e5b92c2d612cfb30	436557	live
021e4dd9-9f95-44d8-b4d3-f13051691cfa	021e4dd9-9f95-44d8-b4d3-f13051691cfa/unc.edu.d31b476c-c047-4e5f-a0cb-eff1065f0121.1133764.rsem.genes.normalized_results	46c6e1c5748b65050e14f84f5dcf648d	436403	live
02f26a4b-c834-4f3e-93e7-45b3a3b62c1b	02f26a4b-c834-4f3e-93e7-45b3a3b62c1b/unc.edu.9b5d680e-5662-442c-a8ab-5fd16551b23e.1116139.rsem.genes.normalized_results	49ce85076c221d4ebb6fd4a63aa02161	433352	live
03070f3b-fa4f-464a-af5e-3015e4edf679	03070f3b-fa4f-464a-af5e-3015e4edf679/unc.edu.eb398b00-8669-4c22-8285-03cdf76436f3.2116195.rsem.genes.normalized_results	f1e35aea9de483c5387eb47e3f2c985d	436259	live
03702f08-61a1-4eb0-9d8f-f9967d80777c	03702f08-61a1-4eb0-9d8f-f9967d80777c/unc.edu.e5636c48-9d0d-42d5-9ac2-31ad566bd168.1879938.rsem.genes.normalized_results	1f9e8c602c6342e63027ae210fc89382	436415	live
03c90eef-e2a5-4039-849c-8e602f124c3a	03c90eef-e2a5-4039-849c-8e602f124c3a/unc.edu.288c81eb-4c43-406b-a5e5-fee452a95afb.1133008.rsem.genes.normalized_results	6f5c40e6231ec1ba2af7f6fc53f34a7f	436307	live
03d67333-4c40-4251-89e9-30d6818c6831	03d67333-4c40-4251-89e9-30d6818c6831/unc.edu.86c4b2fd-d034-469d-adfa-712055f30dc3.1174943.rsem.genes.normalized_results	9ba7bfcff87885cb553ada69650efcca	436737	live
041c5d46-f048-4ed5-99ee-19514b4e4e25	041c5d46-f048-4ed5-99ee-19514b4e4e25/unc.edu.1766e42e-f8cf-447d-a694-3999a1fec43a.1154887.rsem.genes.normalized_results	86fc5f5be78523284c260a884827d9d0	435112	live
047bcaa9-d9e2-4e99-adac-7bc640fae89b	047bcaa9-d9e2-4e99-adac-7bc640fae89b/unc.edu.02a7b2f2-7ae3-426c-9ec5-cdb5ffcaaaa6.2030437.rsem.genes.normalized_results	ce4a1b35b8173e2bf42d84a6d4b1a802	433832	live
0571091c-72ba-488b-b1a4-26bd0de6ab0f	0571091c-72ba-488b-b1a4-26bd0de6ab0f/unc.edu.95bcf18b-40bf-4a20-82bf-727c7bb2a8c2.1160909.rsem.genes.normalized_results	bc81ea2a50d23411d1955713f8054b27	435381	live
05ab88cd-7b48-4914-b4fa-fa3a995c8d2c	05ab88cd-7b48-4914-b4fa-fa3a995c8d2c/unc.edu.2d51ae30-4c8a-4c99-b216-fc4fbda0fbb6.1133290.rsem.genes.normalized_results	41122fc7b3f54bc74d21cd611de96cd4	434725	live
066fa626-ff78-411f-b609-c596325b2726	066fa626-ff78-411f-b609-c596325b2726/unc.edu.b34ad5ac-c581-4747-88db-e2d52fa7e463.1122166.rsem.genes.normalized_results	551058acf4a4bbe8db4fbeeaf217ae42	436208	live
